,lon,lat,coords
2587,-96.25,43.25,POINT (-96.25 43.25)
2588,-95.75,43.25,POINT (-95.75 43.25)
2589,-95.25,43.25,POINT (-95.25 43.25)
2590,-94.75,43.25,POINT (-94.75 43.25)
2591,-94.25,43.25,POINT (-94.25 43.25)
2592,-93.75,43.25,POINT (-93.75 43.25)
2593,-93.25,43.25,POINT (-93.25 43.25)
2594,-92.75,43.25,POINT (-92.75 43.25)
2595,-92.25,43.25,POINT (-92.25 43.25)
2596,-91.75,43.25,POINT (-91.75 43.25)
2597,-91.25,43.25,POINT (-91.25 43.25)
2647,-96.25,42.75,POINT (-96.25 42.75)
2648,-95.75,42.75,POINT (-95.75 42.75)
2649,-95.25,42.75,POINT (-95.25 42.75)
2650,-94.75,42.75,POINT (-94.75 42.75)
2651,-94.25,42.75,POINT (-94.25 42.75)
2652,-93.75,42.75,POINT (-93.75 42.75)
2653,-93.25,42.75,POINT (-93.25 42.75)
2654,-92.75,42.75,POINT (-92.75 42.75)
2655,-92.25,42.75,POINT (-92.25 42.75)
2656,-91.75,42.75,POINT (-91.75 42.75)
2657,-91.25,42.75,POINT (-91.25 42.75)
2707,-96.25,42.25,POINT (-96.25 42.25)
2708,-95.75,42.25,POINT (-95.75 42.25)
2709,-95.25,42.25,POINT (-95.25 42.25)
2710,-94.75,42.25,POINT (-94.75 42.25)
2711,-94.25,42.25,POINT (-94.25 42.25)
2712,-93.75,42.25,POINT (-93.75 42.25)
2713,-93.25,42.25,POINT (-93.25 42.25)
2714,-92.75,42.25,POINT (-92.75 42.25)
2715,-92.25,42.25,POINT (-92.25 42.25)
2716,-91.75,42.25,POINT (-91.75 42.25)
2717,-91.25,42.25,POINT (-91.25 42.25)
2718,-90.75,42.25,POINT (-90.75 42.25)
2768,-95.75,41.75,POINT (-95.75 41.75)
2769,-95.25,41.75,POINT (-95.25 41.75)
2770,-94.75,41.75,POINT (-94.75 41.75)
2771,-94.25,41.75,POINT (-94.25 41.75)
2772,-93.75,41.75,POINT (-93.75 41.75)
2773,-93.25,41.75,POINT (-93.25 41.75)
2774,-92.75,41.75,POINT (-92.75 41.75)
2775,-92.25,41.75,POINT (-92.25 41.75)
2776,-91.75,41.75,POINT (-91.75 41.75)
2777,-91.25,41.75,POINT (-91.25 41.75)
2778,-90.75,41.75,POINT (-90.75 41.75)
2828,-95.75,41.25,POINT (-95.75 41.25)
2829,-95.25,41.25,POINT (-95.25 41.25)
2830,-94.75,41.25,POINT (-94.75 41.25)
2831,-94.25,41.25,POINT (-94.25 41.25)
2832,-93.75,41.25,POINT (-93.75 41.25)
2833,-93.25,41.25,POINT (-93.25 41.25)
2834,-92.75,41.25,POINT (-92.75 41.25)
2835,-92.25,41.25,POINT (-92.25 41.25)
2836,-91.75,41.25,POINT (-91.75 41.25)
2837,-91.25,41.25,POINT (-91.25 41.25)
2888,-95.75,40.75,POINT (-95.75 40.75)
2889,-95.25,40.75,POINT (-95.25 40.75)
2890,-94.75,40.75,POINT (-94.75 40.75)
2891,-94.25,40.75,POINT (-94.25 40.75)
2892,-93.75,40.75,POINT (-93.75 40.75)
2893,-93.25,40.75,POINT (-93.25 40.75)
2894,-92.75,40.75,POINT (-92.75 40.75)
2895,-92.25,40.75,POINT (-92.25 40.75)
2896,-91.75,40.75,POINT (-91.75 40.75)
2897,-91.25,40.75,POINT (-91.25 40.75)
