,lon,lat,coords
2719,-90.25,42.25,POINT (-90.25 42.25)
2720,-89.75,42.25,POINT (-89.75 42.25)
2721,-89.25,42.25,POINT (-89.25 42.25)
2722,-88.75,42.25,POINT (-88.75 42.25)
2723,-88.25,42.25,POINT (-88.25 42.25)
2779,-90.25,41.75,POINT (-90.25 41.75)
2780,-89.75,41.75,POINT (-89.75 41.75)
2781,-89.25,41.75,POINT (-89.25 41.75)
2782,-88.75,41.75,POINT (-88.75 41.75)
2783,-88.25,41.75,POINT (-88.25 41.75)
2784,-87.75,41.75,POINT (-87.75 41.75)
2838,-90.75,41.25,POINT (-90.75 41.25)
2839,-90.25,41.25,POINT (-90.25 41.25)
2840,-89.75,41.25,POINT (-89.75 41.25)
2841,-89.25,41.25,POINT (-89.25 41.25)
2842,-88.75,41.25,POINT (-88.75 41.25)
2843,-88.25,41.25,POINT (-88.25 41.25)
2844,-87.75,41.25,POINT (-87.75 41.25)
2898,-90.75,40.75,POINT (-90.75 40.75)
2899,-90.25,40.75,POINT (-90.25 40.75)
2900,-89.75,40.75,POINT (-89.75 40.75)
2901,-89.25,40.75,POINT (-89.25 40.75)
2902,-88.75,40.75,POINT (-88.75 40.75)
2903,-88.25,40.75,POINT (-88.25 40.75)
2904,-87.75,40.75,POINT (-87.75 40.75)
2957,-91.25,40.25,POINT (-91.25 40.25)
2958,-90.75,40.25,POINT (-90.75 40.25)
2959,-90.25,40.25,POINT (-90.25 40.25)
2960,-89.75,40.25,POINT (-89.75 40.25)
2961,-89.25,40.25,POINT (-89.25 40.25)
2962,-88.75,40.25,POINT (-88.75 40.25)
2963,-88.25,40.25,POINT (-88.25 40.25)
2964,-87.75,40.25,POINT (-87.75 40.25)
3017,-91.25,39.75,POINT (-91.25 39.75)
3018,-90.75,39.75,POINT (-90.75 39.75)
3019,-90.25,39.75,POINT (-90.25 39.75)
3020,-89.75,39.75,POINT (-89.75 39.75)
3021,-89.25,39.75,POINT (-89.25 39.75)
3022,-88.75,39.75,POINT (-88.75 39.75)
3023,-88.25,39.75,POINT (-88.25 39.75)
3024,-87.75,39.75,POINT (-87.75 39.75)
3079,-90.25,39.25,POINT (-90.25 39.25)
3080,-89.75,39.25,POINT (-89.75 39.25)
3081,-89.25,39.25,POINT (-89.25 39.25)
3082,-88.75,39.25,POINT (-88.75 39.25)
3083,-88.25,39.25,POINT (-88.25 39.25)
3084,-87.75,39.25,POINT (-87.75 39.25)
3140,-89.75,38.75,POINT (-89.75 38.75)
3141,-89.25,38.75,POINT (-89.25 38.75)
3142,-88.75,38.75,POINT (-88.75 38.75)
3143,-88.25,38.75,POINT (-88.25 38.75)
3144,-87.75,38.75,POINT (-87.75 38.75)
3199,-90.25,38.25,POINT (-90.25 38.25)
3200,-89.75,38.25,POINT (-89.75 38.25)
3201,-89.25,38.25,POINT (-89.25 38.25)
3202,-88.75,38.25,POINT (-88.75 38.25)
3203,-88.25,38.25,POINT (-88.25 38.25)
3261,-89.25,37.75,POINT (-89.25 37.75)
3262,-88.75,37.75,POINT (-88.75 37.75)
3263,-88.25,37.75,POINT (-88.25 37.75)
3321,-89.25,37.25,POINT (-89.25 37.25)
3322,-88.75,37.25,POINT (-88.75 37.25)
