,lon,lat,coords
2786,-86.75,41.75,POINT (-86.75 41.75)
2787,-86.25,41.75,POINT (-86.25 41.75)
2788,-85.75,41.75,POINT (-85.75 41.75)
2789,-85.25,41.75,POINT (-85.25 41.75)
2845,-87.25,41.25,POINT (-87.25 41.25)
2846,-86.75,41.25,POINT (-86.75 41.25)
2847,-86.25,41.25,POINT (-86.25 41.25)
2848,-85.75,41.25,POINT (-85.75 41.25)
2849,-85.25,41.25,POINT (-85.25 41.25)
2905,-87.25,40.75,POINT (-87.25 40.75)
2906,-86.75,40.75,POINT (-86.75 40.75)
2907,-86.25,40.75,POINT (-86.25 40.75)
2908,-85.75,40.75,POINT (-85.75 40.75)
2909,-85.25,40.75,POINT (-85.25 40.75)
2965,-87.25,40.25,POINT (-87.25 40.25)
2966,-86.75,40.25,POINT (-86.75 40.25)
2967,-86.25,40.25,POINT (-86.25 40.25)
2968,-85.75,40.25,POINT (-85.75 40.25)
2969,-85.25,40.25,POINT (-85.25 40.25)
3025,-87.25,39.75,POINT (-87.25 39.75)
3026,-86.75,39.75,POINT (-86.75 39.75)
3027,-86.25,39.75,POINT (-86.25 39.75)
3028,-85.75,39.75,POINT (-85.75 39.75)
3029,-85.25,39.75,POINT (-85.25 39.75)
3085,-87.25,39.25,POINT (-87.25 39.25)
3086,-86.75,39.25,POINT (-86.75 39.25)
3087,-86.25,39.25,POINT (-86.25 39.25)
3088,-85.75,39.25,POINT (-85.75 39.25)
3089,-85.25,39.25,POINT (-85.25 39.25)
3145,-87.25,38.75,POINT (-87.25 38.75)
3146,-86.75,38.75,POINT (-86.75 38.75)
3147,-86.25,38.75,POINT (-86.25 38.75)
3148,-85.75,38.75,POINT (-85.75 38.75)
3149,-85.25,38.75,POINT (-85.25 38.75)
3204,-87.75,38.25,POINT (-87.75 38.25)
3205,-87.25,38.25,POINT (-87.25 38.25)
3206,-86.75,38.25,POINT (-86.75 38.25)
3207,-86.25,38.25,POINT (-86.25 38.25)
