,lon,lat,coords
1926,-96.75,48.75,POINT (-96.75 48.75)
1927,-96.25,48.75,POINT (-96.25 48.75)
1928,-95.75,48.75,POINT (-95.75 48.75)
1929,-95.25,48.75,POINT (-95.25 48.75)
1930,-94.75,48.75,POINT (-94.75 48.75)
1986,-96.75,48.25,POINT (-96.75 48.25)
1987,-96.25,48.25,POINT (-96.25 48.25)
1988,-95.75,48.25,POINT (-95.75 48.25)
1989,-95.25,48.25,POINT (-95.25 48.25)
1990,-94.75,48.25,POINT (-94.75 48.25)
1991,-94.25,48.25,POINT (-94.25 48.25)
1992,-93.75,48.25,POINT (-93.75 48.25)
1993,-93.25,48.25,POINT (-93.25 48.25)
1994,-92.75,48.25,POINT (-92.75 48.25)
1995,-92.25,48.25,POINT (-92.25 48.25)
2046,-96.75,47.75,POINT (-96.75 47.75)
2047,-96.25,47.75,POINT (-96.25 47.75)
2048,-95.75,47.75,POINT (-95.75 47.75)
2049,-95.25,47.75,POINT (-95.25 47.75)
2050,-94.75,47.75,POINT (-94.75 47.75)
2051,-94.25,47.75,POINT (-94.25 47.75)
2052,-93.75,47.75,POINT (-93.75 47.75)
2053,-93.25,47.75,POINT (-93.25 47.75)
2054,-92.75,47.75,POINT (-92.75 47.75)
2055,-92.25,47.75,POINT (-92.25 47.75)
2056,-91.75,47.75,POINT (-91.75 47.75)
2057,-91.25,47.75,POINT (-91.25 47.75)
2058,-90.75,47.75,POINT (-90.75 47.75)
2106,-96.75,47.25,POINT (-96.75 47.25)
2107,-96.25,47.25,POINT (-96.25 47.25)
2108,-95.75,47.25,POINT (-95.75 47.25)
2109,-95.25,47.25,POINT (-95.25 47.25)
2110,-94.75,47.25,POINT (-94.75 47.25)
2111,-94.25,47.25,POINT (-94.25 47.25)
2112,-93.75,47.25,POINT (-93.75 47.25)
2113,-93.25,47.25,POINT (-93.25 47.25)
2114,-92.75,47.25,POINT (-92.75 47.25)
2115,-92.25,47.25,POINT (-92.25 47.25)
2116,-91.75,47.25,POINT (-91.75 47.25)
2166,-96.75,46.75,POINT (-96.75 46.75)
2167,-96.25,46.75,POINT (-96.25 46.75)
2168,-95.75,46.75,POINT (-95.75 46.75)
2169,-95.25,46.75,POINT (-95.25 46.75)
2170,-94.75,46.75,POINT (-94.75 46.75)
2171,-94.25,46.75,POINT (-94.25 46.75)
2172,-93.75,46.75,POINT (-93.75 46.75)
2173,-93.25,46.75,POINT (-93.25 46.75)
2174,-92.75,46.75,POINT (-92.75 46.75)
2175,-92.25,46.75,POINT (-92.25 46.75)
2227,-96.25,46.25,POINT (-96.25 46.25)
2228,-95.75,46.25,POINT (-95.75 46.25)
2229,-95.25,46.25,POINT (-95.25 46.25)
2230,-94.75,46.25,POINT (-94.75 46.25)
2231,-94.25,46.25,POINT (-94.25 46.25)
2232,-93.75,46.25,POINT (-93.75 46.25)
2233,-93.25,46.25,POINT (-93.25 46.25)
2234,-92.75,46.25,POINT (-92.75 46.25)
2287,-96.25,45.75,POINT (-96.25 45.75)
2288,-95.75,45.75,POINT (-95.75 45.75)
2289,-95.25,45.75,POINT (-95.25 45.75)
2290,-94.75,45.75,POINT (-94.75 45.75)
2291,-94.25,45.75,POINT (-94.25 45.75)
2292,-93.75,45.75,POINT (-93.75 45.75)
2293,-93.25,45.75,POINT (-93.25 45.75)
2347,-96.25,45.25,POINT (-96.25 45.25)
2348,-95.75,45.25,POINT (-95.75 45.25)
2349,-95.25,45.25,POINT (-95.25 45.25)
2350,-94.75,45.25,POINT (-94.75 45.25)
2351,-94.25,45.25,POINT (-94.25 45.25)
2352,-93.75,45.25,POINT (-93.75 45.25)
2353,-93.25,45.25,POINT (-93.25 45.25)
2407,-96.25,44.75,POINT (-96.25 44.75)
2408,-95.75,44.75,POINT (-95.75 44.75)
2409,-95.25,44.75,POINT (-95.25 44.75)
2410,-94.75,44.75,POINT (-94.75 44.75)
2411,-94.25,44.75,POINT (-94.25 44.75)
2412,-93.75,44.75,POINT (-93.75 44.75)
2413,-93.25,44.75,POINT (-93.25 44.75)
2467,-96.25,44.25,POINT (-96.25 44.25)
2468,-95.75,44.25,POINT (-95.75 44.25)
2469,-95.25,44.25,POINT (-95.25 44.25)
2470,-94.75,44.25,POINT (-94.75 44.25)
2471,-94.25,44.25,POINT (-94.25 44.25)
2472,-93.75,44.25,POINT (-93.75 44.25)
2473,-93.25,44.25,POINT (-93.25 44.25)
2474,-92.75,44.25,POINT (-92.75 44.25)
2475,-92.25,44.25,POINT (-92.25 44.25)
2527,-96.25,43.75,POINT (-96.25 43.75)
2528,-95.75,43.75,POINT (-95.75 43.75)
2529,-95.25,43.75,POINT (-95.25 43.75)
2530,-94.75,43.75,POINT (-94.75 43.75)
2531,-94.25,43.75,POINT (-94.25 43.75)
2532,-93.75,43.75,POINT (-93.75 43.75)
2533,-93.25,43.75,POINT (-93.25 43.75)
2534,-92.75,43.75,POINT (-92.75 43.75)
2535,-92.25,43.75,POINT (-92.25 43.75)
2536,-91.75,43.75,POINT (-91.75 43.75)
