,lon,lat,coords
2449,-75.25,44.75,POINT (-75.25 44.75)
2450,-74.75,44.75,POINT (-74.75 44.75)
2451,-74.25,44.75,POINT (-74.25 44.75)
2452,-73.75,44.75,POINT (-73.75 44.75)
2508,-75.75,44.25,POINT (-75.75 44.25)
2509,-75.25,44.25,POINT (-75.25 44.25)
2510,-74.75,44.25,POINT (-74.75 44.25)
2511,-74.25,44.25,POINT (-74.25 44.25)
2512,-73.75,44.25,POINT (-73.75 44.25)
2568,-75.75,43.75,POINT (-75.75 43.75)
2569,-75.25,43.75,POINT (-75.25 43.75)
2570,-74.75,43.75,POINT (-74.75 43.75)
2571,-74.25,43.75,POINT (-74.25 43.75)
2572,-73.75,43.75,POINT (-73.75 43.75)
2622,-78.75,43.25,POINT (-78.75 43.25)
2623,-78.25,43.25,POINT (-78.25 43.25)
2624,-77.75,43.25,POINT (-77.75 43.25)
2625,-77.25,43.25,POINT (-77.25 43.25)
2626,-76.75,43.25,POINT (-76.75 43.25)
2627,-76.25,43.25,POINT (-76.25 43.25)
2628,-75.75,43.25,POINT (-75.75 43.25)
2629,-75.25,43.25,POINT (-75.25 43.25)
2630,-74.75,43.25,POINT (-74.75 43.25)
2631,-74.25,43.25,POINT (-74.25 43.25)
2632,-73.75,43.25,POINT (-73.75 43.25)
2682,-78.75,42.75,POINT (-78.75 42.75)
2683,-78.25,42.75,POINT (-78.25 42.75)
2684,-77.75,42.75,POINT (-77.75 42.75)
2685,-77.25,42.75,POINT (-77.25 42.75)
2686,-76.75,42.75,POINT (-76.75 42.75)
2687,-76.25,42.75,POINT (-76.25 42.75)
2688,-75.75,42.75,POINT (-75.75 42.75)
2689,-75.25,42.75,POINT (-75.25 42.75)
2690,-74.75,42.75,POINT (-74.75 42.75)
2691,-74.25,42.75,POINT (-74.25 42.75)
2692,-73.75,42.75,POINT (-73.75 42.75)
2740,-79.75,42.25,POINT (-79.75 42.25)
2741,-79.25,42.25,POINT (-79.25 42.25)
2742,-78.75,42.25,POINT (-78.75 42.25)
2743,-78.25,42.25,POINT (-78.25 42.25)
2744,-77.75,42.25,POINT (-77.75 42.25)
2745,-77.25,42.25,POINT (-77.25 42.25)
2746,-76.75,42.25,POINT (-76.75 42.25)
2747,-76.25,42.25,POINT (-76.25 42.25)
2748,-75.75,42.25,POINT (-75.75 42.25)
2749,-75.25,42.25,POINT (-75.25 42.25)
2750,-74.75,42.25,POINT (-74.75 42.25)
2751,-74.25,42.25,POINT (-74.25 42.25)
2752,-73.75,42.25,POINT (-73.75 42.25)
2810,-74.75,41.75,POINT (-74.75 41.75)
2811,-74.25,41.75,POINT (-74.25 41.75)
2812,-73.75,41.75,POINT (-73.75 41.75)
2871,-74.25,41.25,POINT (-74.25 41.25)
2872,-73.75,41.25,POINT (-73.75 41.25)
2932,-73.75,40.75,POINT (-73.75 40.75)
2933,-73.25,40.75,POINT (-73.25 40.75)
