,lon,lat,coords
2797,-81.25,41.75,POINT (-81.25 41.75)
2798,-80.75,41.75,POINT (-80.75 41.75)
2850,-84.75,41.25,POINT (-84.75 41.25)
2851,-84.25,41.25,POINT (-84.25 41.25)
2852,-83.75,41.25,POINT (-83.75 41.25)
2853,-83.25,41.25,POINT (-83.25 41.25)
2854,-82.75,41.25,POINT (-82.75 41.25)
2855,-82.25,41.25,POINT (-82.25 41.25)
2856,-81.75,41.25,POINT (-81.75 41.25)
2857,-81.25,41.25,POINT (-81.25 41.25)
2858,-80.75,41.25,POINT (-80.75 41.25)
2910,-84.75,40.75,POINT (-84.75 40.75)
2911,-84.25,40.75,POINT (-84.25 40.75)
2912,-83.75,40.75,POINT (-83.75 40.75)
2913,-83.25,40.75,POINT (-83.25 40.75)
2914,-82.75,40.75,POINT (-82.75 40.75)
2915,-82.25,40.75,POINT (-82.25 40.75)
2916,-81.75,40.75,POINT (-81.75 40.75)
2917,-81.25,40.75,POINT (-81.25 40.75)
2918,-80.75,40.75,POINT (-80.75 40.75)
2970,-84.75,40.25,POINT (-84.75 40.25)
2971,-84.25,40.25,POINT (-84.25 40.25)
2972,-83.75,40.25,POINT (-83.75 40.25)
2973,-83.25,40.25,POINT (-83.25 40.25)
2974,-82.75,40.25,POINT (-82.75 40.25)
2975,-82.25,40.25,POINT (-82.25 40.25)
2976,-81.75,40.25,POINT (-81.75 40.25)
2977,-81.25,40.25,POINT (-81.25 40.25)
2978,-80.75,40.25,POINT (-80.75 40.25)
3030,-84.75,39.75,POINT (-84.75 39.75)
3031,-84.25,39.75,POINT (-84.25 39.75)
3032,-83.75,39.75,POINT (-83.75 39.75)
3033,-83.25,39.75,POINT (-83.25 39.75)
3034,-82.75,39.75,POINT (-82.75 39.75)
3035,-82.25,39.75,POINT (-82.25 39.75)
3036,-81.75,39.75,POINT (-81.75 39.75)
3037,-81.25,39.75,POINT (-81.25 39.75)
3090,-84.75,39.25,POINT (-84.75 39.25)
3091,-84.25,39.25,POINT (-84.25 39.25)
3092,-83.75,39.25,POINT (-83.75 39.25)
3093,-83.25,39.25,POINT (-83.25 39.25)
3094,-82.75,39.25,POINT (-82.75 39.25)
3095,-82.25,39.25,POINT (-82.25 39.25)
3096,-81.75,39.25,POINT (-81.75 39.25)
3152,-83.75,38.75,POINT (-83.75 38.75)
3153,-83.25,38.75,POINT (-83.25 38.75)
3154,-82.75,38.75,POINT (-82.75 38.75)
3155,-82.25,38.75,POINT (-82.25 38.75)
