,lon,lat,coords
982,-88.75,56.75,POINT (-88.75 56.75)
1040,-89.75,56.25,POINT (-89.75 56.25)
1041,-89.25,56.25,POINT (-89.25 56.25)
1042,-88.75,56.25,POINT (-88.75 56.25)
1043,-88.25,56.25,POINT (-88.25 56.25)
1098,-90.75,55.75,POINT (-90.75 55.75)
1099,-90.25,55.75,POINT (-90.25 55.75)
1100,-89.75,55.75,POINT (-89.75 55.75)
1101,-89.25,55.75,POINT (-89.25 55.75)
1102,-88.75,55.75,POINT (-88.75 55.75)
1103,-88.25,55.75,POINT (-88.25 55.75)
1104,-87.75,55.75,POINT (-87.75 55.75)
1105,-87.25,55.75,POINT (-87.25 55.75)
1106,-86.75,55.75,POINT (-86.75 55.75)
1157,-91.25,55.25,POINT (-91.25 55.25)
1158,-90.75,55.25,POINT (-90.75 55.25)
1159,-90.25,55.25,POINT (-90.25 55.25)
1160,-89.75,55.25,POINT (-89.75 55.25)
1161,-89.25,55.25,POINT (-89.25 55.25)
1162,-88.75,55.25,POINT (-88.75 55.25)
1163,-88.25,55.25,POINT (-88.25 55.25)
1164,-87.75,55.25,POINT (-87.75 55.25)
1165,-87.25,55.25,POINT (-87.25 55.25)
1166,-86.75,55.25,POINT (-86.75 55.25)
1167,-86.25,55.25,POINT (-86.25 55.25)
1168,-85.75,55.25,POINT (-85.75 55.25)
1169,-85.25,55.25,POINT (-85.25 55.25)
1171,-84.25,55.25,POINT (-84.25 55.25)
1172,-83.75,55.25,POINT (-83.75 55.25)
1216,-91.75,54.75,POINT (-91.75 54.75)
1217,-91.25,54.75,POINT (-91.25 54.75)
1218,-90.75,54.75,POINT (-90.75 54.75)
1219,-90.25,54.75,POINT (-90.25 54.75)
1220,-89.75,54.75,POINT (-89.75 54.75)
1221,-89.25,54.75,POINT (-89.25 54.75)
1222,-88.75,54.75,POINT (-88.75 54.75)
1223,-88.25,54.75,POINT (-88.25 54.75)
1224,-87.75,54.75,POINT (-87.75 54.75)
1225,-87.25,54.75,POINT (-87.25 54.75)
1226,-86.75,54.75,POINT (-86.75 54.75)
1227,-86.25,54.75,POINT (-86.25 54.75)
1228,-85.75,54.75,POINT (-85.75 54.75)
1229,-85.25,54.75,POINT (-85.25 54.75)
1230,-84.75,54.75,POINT (-84.75 54.75)
1231,-84.25,54.75,POINT (-84.25 54.75)
1232,-83.75,54.75,POINT (-83.75 54.75)
1233,-83.25,54.75,POINT (-83.25 54.75)
1234,-82.75,54.75,POINT (-82.75 54.75)
1235,-82.25,54.75,POINT (-82.25 54.75)
1274,-92.75,54.25,POINT (-92.75 54.25)
1275,-92.25,54.25,POINT (-92.25 54.25)
1276,-91.75,54.25,POINT (-91.75 54.25)
1277,-91.25,54.25,POINT (-91.25 54.25)
1278,-90.75,54.25,POINT (-90.75 54.25)
1279,-90.25,54.25,POINT (-90.25 54.25)
1280,-89.75,54.25,POINT (-89.75 54.25)
1281,-89.25,54.25,POINT (-89.25 54.25)
1282,-88.75,54.25,POINT (-88.75 54.25)
1283,-88.25,54.25,POINT (-88.25 54.25)
1284,-87.75,54.25,POINT (-87.75 54.25)
1285,-87.25,54.25,POINT (-87.25 54.25)
1286,-86.75,54.25,POINT (-86.75 54.25)
1287,-86.25,54.25,POINT (-86.25 54.25)
1288,-85.75,54.25,POINT (-85.75 54.25)
1289,-85.25,54.25,POINT (-85.25 54.25)
1290,-84.75,54.25,POINT (-84.75 54.25)
1291,-84.25,54.25,POINT (-84.25 54.25)
1292,-83.75,54.25,POINT (-83.75 54.25)
1293,-83.25,54.25,POINT (-83.25 54.25)
1294,-82.75,54.25,POINT (-82.75 54.25)
1333,-93.25,53.75,POINT (-93.25 53.75)
1334,-92.75,53.75,POINT (-92.75 53.75)
1335,-92.25,53.75,POINT (-92.25 53.75)
1336,-91.75,53.75,POINT (-91.75 53.75)
1337,-91.25,53.75,POINT (-91.25 53.75)
1338,-90.75,53.75,POINT (-90.75 53.75)
1339,-90.25,53.75,POINT (-90.25 53.75)
1340,-89.75,53.75,POINT (-89.75 53.75)
1341,-89.25,53.75,POINT (-89.25 53.75)
1342,-88.75,53.75,POINT (-88.75 53.75)
1343,-88.25,53.75,POINT (-88.25 53.75)
1344,-87.75,53.75,POINT (-87.75 53.75)
1345,-87.25,53.75,POINT (-87.25 53.75)
1346,-86.75,53.75,POINT (-86.75 53.75)
1347,-86.25,53.75,POINT (-86.25 53.75)
1348,-85.75,53.75,POINT (-85.75 53.75)
1349,-85.25,53.75,POINT (-85.25 53.75)
1350,-84.75,53.75,POINT (-84.75 53.75)
1351,-84.25,53.75,POINT (-84.25 53.75)
1352,-83.75,53.75,POINT (-83.75 53.75)
1353,-83.25,53.75,POINT (-83.25 53.75)
1354,-82.75,53.75,POINT (-82.75 53.75)
1355,-82.25,53.75,POINT (-82.25 53.75)
1391,-94.25,53.25,POINT (-94.25 53.25)
1392,-93.75,53.25,POINT (-93.75 53.25)
1393,-93.25,53.25,POINT (-93.25 53.25)
1394,-92.75,53.25,POINT (-92.75 53.25)
1395,-92.25,53.25,POINT (-92.25 53.25)
1396,-91.75,53.25,POINT (-91.75 53.25)
1397,-91.25,53.25,POINT (-91.25 53.25)
1398,-90.75,53.25,POINT (-90.75 53.25)
1399,-90.25,53.25,POINT (-90.25 53.25)
1400,-89.75,53.25,POINT (-89.75 53.25)
1401,-89.25,53.25,POINT (-89.25 53.25)
1402,-88.75,53.25,POINT (-88.75 53.25)
1403,-88.25,53.25,POINT (-88.25 53.25)
1404,-87.75,53.25,POINT (-87.75 53.25)
1405,-87.25,53.25,POINT (-87.25 53.25)
1406,-86.75,53.25,POINT (-86.75 53.25)
1407,-86.25,53.25,POINT (-86.25 53.25)
1408,-85.75,53.25,POINT (-85.75 53.25)
1409,-85.25,53.25,POINT (-85.25 53.25)
1410,-84.75,53.25,POINT (-84.75 53.25)
1411,-84.25,53.25,POINT (-84.25 53.25)
1412,-83.75,53.25,POINT (-83.75 53.25)
1413,-83.25,53.25,POINT (-83.25 53.25)
