,lon,lat,coords
2799,-80.25,41.75,POINT (-80.25 41.75)
2800,-79.75,41.75,POINT (-79.75 41.75)
2801,-79.25,41.75,POINT (-79.25 41.75)
2802,-78.75,41.75,POINT (-78.75 41.75)
2803,-78.25,41.75,POINT (-78.25 41.75)
2804,-77.75,41.75,POINT (-77.75 41.75)
2805,-77.25,41.75,POINT (-77.25 41.75)
2806,-76.75,41.75,POINT (-76.75 41.75)
2807,-76.25,41.75,POINT (-76.25 41.75)
2808,-75.75,41.75,POINT (-75.75 41.75)
2809,-75.25,41.75,POINT (-75.25 41.75)
2859,-80.25,41.25,POINT (-80.25 41.25)
2860,-79.75,41.25,POINT (-79.75 41.25)
2861,-79.25,41.25,POINT (-79.25 41.25)
2862,-78.75,41.25,POINT (-78.75 41.25)
2863,-78.25,41.25,POINT (-78.25 41.25)
2864,-77.75,41.25,POINT (-77.75 41.25)
2865,-77.25,41.25,POINT (-77.25 41.25)
2866,-76.75,41.25,POINT (-76.75 41.25)
2867,-76.25,41.25,POINT (-76.25 41.25)
2868,-75.75,41.25,POINT (-75.75 41.25)
2869,-75.25,41.25,POINT (-75.25 41.25)
2919,-80.25,40.75,POINT (-80.25 40.75)
2920,-79.75,40.75,POINT (-79.75 40.75)
2921,-79.25,40.75,POINT (-79.25 40.75)
2922,-78.75,40.75,POINT (-78.75 40.75)
2923,-78.25,40.75,POINT (-78.25 40.75)
2924,-77.75,40.75,POINT (-77.75 40.75)
2925,-77.25,40.75,POINT (-77.25 40.75)
2926,-76.75,40.75,POINT (-76.75 40.75)
2927,-76.25,40.75,POINT (-76.25 40.75)
2928,-75.75,40.75,POINT (-75.75 40.75)
2929,-75.25,40.75,POINT (-75.25 40.75)
2979,-80.25,40.25,POINT (-80.25 40.25)
2980,-79.75,40.25,POINT (-79.75 40.25)
2981,-79.25,40.25,POINT (-79.25 40.25)
2982,-78.75,40.25,POINT (-78.75 40.25)
2983,-78.25,40.25,POINT (-78.25 40.25)
2984,-77.75,40.25,POINT (-77.75 40.25)
2985,-77.25,40.25,POINT (-77.25 40.25)
2986,-76.75,40.25,POINT (-76.75 40.25)
2987,-76.25,40.25,POINT (-76.25 40.25)
2988,-75.75,40.25,POINT (-75.75 40.25)
2989,-75.25,40.25,POINT (-75.25 40.25)
3039,-80.25,39.75,POINT (-80.25 39.75)
3040,-79.75,39.75,POINT (-79.75 39.75)
3041,-79.25,39.75,POINT (-79.25 39.75)
3042,-78.75,39.75,POINT (-78.75 39.75)
3043,-78.25,39.75,POINT (-78.25 39.75)
3044,-77.75,39.75,POINT (-77.75 39.75)
3045,-77.25,39.75,POINT (-77.25 39.75)
3046,-76.75,39.75,POINT (-76.75 39.75)
3047,-76.25,39.75,POINT (-76.25 39.75)
