,lon,lat,coords
344,-77.75,62.25,POINT (-77.75 62.25)
345,-77.25,62.25,POINT (-77.25 62.25)
346,-76.75,62.25,POINT (-76.75 62.25)
347,-76.25,62.25,POINT (-76.25 62.25)
348,-75.75,62.25,POINT (-75.75 62.25)
349,-75.25,62.25,POINT (-75.25 62.25)
351,-74.25,62.25,POINT (-74.25 62.25)
352,-73.75,62.25,POINT (-73.75 62.25)
353,-73.25,62.25,POINT (-73.25 62.25)
404,-77.75,61.75,POINT (-77.75 61.75)
405,-77.25,61.75,POINT (-77.25 61.75)
406,-76.75,61.75,POINT (-76.75 61.75)
407,-76.25,61.75,POINT (-76.25 61.75)
408,-75.75,61.75,POINT (-75.75 61.75)
409,-75.25,61.75,POINT (-75.25 61.75)
410,-74.75,61.75,POINT (-74.75 61.75)
411,-74.25,61.75,POINT (-74.25 61.75)
412,-73.75,61.75,POINT (-73.75 61.75)
413,-73.25,61.75,POINT (-73.25 61.75)
414,-72.75,61.75,POINT (-72.75 61.75)
415,-72.25,61.75,POINT (-72.25 61.75)
465,-77.25,61.25,POINT (-77.25 61.25)
466,-76.75,61.25,POINT (-76.75 61.25)
467,-76.25,61.25,POINT (-76.25 61.25)
468,-75.75,61.25,POINT (-75.75 61.25)
469,-75.25,61.25,POINT (-75.25 61.25)
470,-74.75,61.25,POINT (-74.75 61.25)
471,-74.25,61.25,POINT (-74.25 61.25)
472,-73.75,61.25,POINT (-73.75 61.25)
473,-73.25,61.25,POINT (-73.25 61.25)
474,-72.75,61.25,POINT (-72.75 61.25)
475,-72.25,61.25,POINT (-72.25 61.25)
476,-71.75,61.25,POINT (-71.75 61.25)
524,-77.75,60.75,POINT (-77.75 60.75)
525,-77.25,60.75,POINT (-77.25 60.75)
526,-76.75,60.75,POINT (-76.75 60.75)
527,-76.25,60.75,POINT (-76.25 60.75)
528,-75.75,60.75,POINT (-75.75 60.75)
529,-75.25,60.75,POINT (-75.25 60.75)
530,-74.75,60.75,POINT (-74.75 60.75)
531,-74.25,60.75,POINT (-74.25 60.75)
532,-73.75,60.75,POINT (-73.75 60.75)
533,-73.25,60.75,POINT (-73.25 60.75)
534,-72.75,60.75,POINT (-72.75 60.75)
535,-72.25,60.75,POINT (-72.25 60.75)
536,-71.75,60.75,POINT (-71.75 60.75)
537,-71.25,60.75,POINT (-71.25 60.75)
538,-70.75,60.75,POINT (-70.75 60.75)
539,-70.25,60.75,POINT (-70.25 60.75)
585,-77.25,60.25,POINT (-77.25 60.25)
586,-76.75,60.25,POINT (-76.75 60.25)
587,-76.25,60.25,POINT (-76.25 60.25)
588,-75.75,60.25,POINT (-75.75 60.25)
589,-75.25,60.25,POINT (-75.25 60.25)
590,-74.75,60.25,POINT (-74.75 60.25)
591,-74.25,60.25,POINT (-74.25 60.25)
592,-73.75,60.25,POINT (-73.75 60.25)
593,-73.25,60.25,POINT (-73.25 60.25)
594,-72.75,60.25,POINT (-72.75 60.25)
595,-72.25,60.25,POINT (-72.25 60.25)
596,-71.75,60.25,POINT (-71.75 60.25)
597,-71.25,60.25,POINT (-71.25 60.25)
598,-70.75,60.25,POINT (-70.75 60.25)
599,-70.25,60.25,POINT (-70.25 60.25)
644,-77.75,59.75,POINT (-77.75 59.75)
645,-77.25,59.75,POINT (-77.25 59.75)
646,-76.75,59.75,POINT (-76.75 59.75)
647,-76.25,59.75,POINT (-76.25 59.75)
648,-75.75,59.75,POINT (-75.75 59.75)
649,-75.25,59.75,POINT (-75.25 59.75)
650,-74.75,59.75,POINT (-74.75 59.75)
651,-74.25,59.75,POINT (-74.25 59.75)
652,-73.75,59.75,POINT (-73.75 59.75)
653,-73.25,59.75,POINT (-73.25 59.75)
654,-72.75,59.75,POINT (-72.75 59.75)
655,-72.25,59.75,POINT (-72.25 59.75)
656,-71.75,59.75,POINT (-71.75 59.75)
657,-71.25,59.75,POINT (-71.25 59.75)
658,-70.75,59.75,POINT (-70.75 59.75)
659,-70.25,59.75,POINT (-70.25 59.75)
704,-77.75,59.25,POINT (-77.75 59.25)
705,-77.25,59.25,POINT (-77.25 59.25)
706,-76.75,59.25,POINT (-76.75 59.25)
707,-76.25,59.25,POINT (-76.25 59.25)
708,-75.75,59.25,POINT (-75.75 59.25)
709,-75.25,59.25,POINT (-75.25 59.25)
710,-74.75,59.25,POINT (-74.75 59.25)
711,-74.25,59.25,POINT (-74.25 59.25)
712,-73.75,59.25,POINT (-73.75 59.25)
713,-73.25,59.25,POINT (-73.25 59.25)
714,-72.75,59.25,POINT (-72.75 59.25)
715,-72.25,59.25,POINT (-72.25 59.25)
716,-71.75,59.25,POINT (-71.75 59.25)
717,-71.25,59.25,POINT (-71.25 59.25)
718,-70.75,59.25,POINT (-70.75 59.25)
719,-70.25,59.25,POINT (-70.25 59.25)
763,-78.25,58.75,POINT (-78.25 58.75)
764,-77.75,58.75,POINT (-77.75 58.75)
765,-77.25,58.75,POINT (-77.25 58.75)
766,-76.75,58.75,POINT (-76.75 58.75)
767,-76.25,58.75,POINT (-76.25 58.75)
768,-75.75,58.75,POINT (-75.75 58.75)
769,-75.25,58.75,POINT (-75.25 58.75)
770,-74.75,58.75,POINT (-74.75 58.75)
771,-74.25,58.75,POINT (-74.25 58.75)
772,-73.75,58.75,POINT (-73.75 58.75)
773,-73.25,58.75,POINT (-73.25 58.75)
774,-72.75,58.75,POINT (-72.75 58.75)
775,-72.25,58.75,POINT (-72.25 58.75)
776,-71.75,58.75,POINT (-71.75 58.75)
777,-71.25,58.75,POINT (-71.25 58.75)
778,-70.75,58.75,POINT (-70.75 58.75)
779,-70.25,58.75,POINT (-70.25 58.75)
825,-77.25,58.25,POINT (-77.25 58.25)
826,-76.75,58.25,POINT (-76.75 58.25)
827,-76.25,58.25,POINT (-76.25 58.25)
828,-75.75,58.25,POINT (-75.75 58.25)
829,-75.25,58.25,POINT (-75.25 58.25)
830,-74.75,58.25,POINT (-74.75 58.25)
831,-74.25,58.25,POINT (-74.25 58.25)
832,-73.75,58.25,POINT (-73.75 58.25)
833,-73.25,58.25,POINT (-73.25 58.25)
834,-72.75,58.25,POINT (-72.75 58.25)
835,-72.25,58.25,POINT (-72.25 58.25)
836,-71.75,58.25,POINT (-71.75 58.25)
837,-71.25,58.25,POINT (-71.25 58.25)
838,-70.75,58.25,POINT (-70.75 58.25)
839,-70.25,58.25,POINT (-70.25 58.25)
886,-76.75,57.75,POINT (-76.75 57.75)
887,-76.25,57.75,POINT (-76.25 57.75)
888,-75.75,57.75,POINT (-75.75 57.75)
889,-75.25,57.75,POINT (-75.25 57.75)
890,-74.75,57.75,POINT (-74.75 57.75)
891,-74.25,57.75,POINT (-74.25 57.75)
892,-73.75,57.75,POINT (-73.75 57.75)
893,-73.25,57.75,POINT (-73.25 57.75)
894,-72.75,57.75,POINT (-72.75 57.75)
895,-72.25,57.75,POINT (-72.25 57.75)
896,-71.75,57.75,POINT (-71.75 57.75)
897,-71.25,57.75,POINT (-71.25 57.75)
898,-70.75,57.75,POINT (-70.75 57.75)
899,-70.25,57.75,POINT (-70.25 57.75)
947,-76.25,57.25,POINT (-76.25 57.25)
948,-75.75,57.25,POINT (-75.75 57.25)
949,-75.25,57.25,POINT (-75.25 57.25)
950,-74.75,57.25,POINT (-74.75 57.25)
951,-74.25,57.25,POINT (-74.25 57.25)
952,-73.75,57.25,POINT (-73.75 57.25)
953,-73.25,57.25,POINT (-73.25 57.25)
954,-72.75,57.25,POINT (-72.75 57.25)
955,-72.25,57.25,POINT (-72.25 57.25)
956,-71.75,57.25,POINT (-71.75 57.25)
957,-71.25,57.25,POINT (-71.25 57.25)
958,-70.75,57.25,POINT (-70.75 57.25)
959,-70.25,57.25,POINT (-70.25 57.25)
1007,-76.25,56.75,POINT (-76.25 56.75)
1008,-75.75,56.75,POINT (-75.75 56.75)
1009,-75.25,56.75,POINT (-75.25 56.75)
1010,-74.75,56.75,POINT (-74.75 56.75)
1011,-74.25,56.75,POINT (-74.25 56.75)
1012,-73.75,56.75,POINT (-73.75 56.75)
1013,-73.25,56.75,POINT (-73.25 56.75)
1014,-72.75,56.75,POINT (-72.75 56.75)
1015,-72.25,56.75,POINT (-72.25 56.75)
1016,-71.75,56.75,POINT (-71.75 56.75)
1017,-71.25,56.75,POINT (-71.25 56.75)
1018,-70.75,56.75,POINT (-70.75 56.75)
1019,-70.25,56.75,POINT (-70.25 56.75)
1067,-76.25,56.25,POINT (-76.25 56.25)
1068,-75.75,56.25,POINT (-75.75 56.25)
1069,-75.25,56.25,POINT (-75.25 56.25)
1070,-74.75,56.25,POINT (-74.75 56.25)
1071,-74.25,56.25,POINT (-74.25 56.25)
1072,-73.75,56.25,POINT (-73.75 56.25)
1073,-73.25,56.25,POINT (-73.25 56.25)
1074,-72.75,56.25,POINT (-72.75 56.25)
1075,-72.25,56.25,POINT (-72.25 56.25)
1076,-71.75,56.25,POINT (-71.75 56.25)
1077,-71.25,56.25,POINT (-71.25 56.25)
1078,-70.75,56.25,POINT (-70.75 56.25)
1079,-70.25,56.25,POINT (-70.25 56.25)
1126,-76.75,55.75,POINT (-76.75 55.75)
1127,-76.25,55.75,POINT (-76.25 55.75)
1128,-75.75,55.75,POINT (-75.75 55.75)
1129,-75.25,55.75,POINT (-75.25 55.75)
1130,-74.75,55.75,POINT (-74.75 55.75)
1131,-74.25,55.75,POINT (-74.25 55.75)
1132,-73.75,55.75,POINT (-73.75 55.75)
1133,-73.25,55.75,POINT (-73.25 55.75)
1134,-72.75,55.75,POINT (-72.75 55.75)
1135,-72.25,55.75,POINT (-72.25 55.75)
1136,-71.75,55.75,POINT (-71.75 55.75)
1137,-71.25,55.75,POINT (-71.25 55.75)
1138,-70.75,55.75,POINT (-70.75 55.75)
1139,-70.25,55.75,POINT (-70.25 55.75)
1184,-77.75,55.25,POINT (-77.75 55.25)
1185,-77.25,55.25,POINT (-77.25 55.25)
1186,-76.75,55.25,POINT (-76.75 55.25)
1187,-76.25,55.25,POINT (-76.25 55.25)
1188,-75.75,55.25,POINT (-75.75 55.25)
1189,-75.25,55.25,POINT (-75.25 55.25)
1190,-74.75,55.25,POINT (-74.75 55.25)
1191,-74.25,55.25,POINT (-74.25 55.25)
1192,-73.75,55.25,POINT (-73.75 55.25)
1193,-73.25,55.25,POINT (-73.25 55.25)
1194,-72.75,55.25,POINT (-72.75 55.25)
1195,-72.25,55.25,POINT (-72.25 55.25)
1196,-71.75,55.25,POINT (-71.75 55.25)
1197,-71.25,55.25,POINT (-71.25 55.25)
1198,-70.75,55.25,POINT (-70.75 55.25)
1199,-70.25,55.25,POINT (-70.25 55.25)
1241,-79.25,54.75,POINT (-79.25 54.75)
1242,-78.75,54.75,POINT (-78.75 54.75)
1243,-78.25,54.75,POINT (-78.25 54.75)
1244,-77.75,54.75,POINT (-77.75 54.75)
1245,-77.25,54.75,POINT (-77.25 54.75)
1246,-76.75,54.75,POINT (-76.75 54.75)
1247,-76.25,54.75,POINT (-76.25 54.75)
1248,-75.75,54.75,POINT (-75.75 54.75)
