,lon,lat,coords
2177,-91.25,46.75,POINT (-91.25 46.75)
2235,-92.25,46.25,POINT (-92.25 46.25)
2236,-91.75,46.25,POINT (-91.75 46.25)
2237,-91.25,46.25,POINT (-91.25 46.25)
2238,-90.75,46.25,POINT (-90.75 46.25)
2239,-90.25,46.25,POINT (-90.25 46.25)
2240,-89.75,46.25,POINT (-89.75 46.25)
2294,-92.75,45.75,POINT (-92.75 45.75)
2295,-92.25,45.75,POINT (-92.25 45.75)
2296,-91.75,45.75,POINT (-91.75 45.75)
2297,-91.25,45.75,POINT (-91.25 45.75)
2298,-90.75,45.75,POINT (-90.75 45.75)
2299,-90.25,45.75,POINT (-90.25 45.75)
2300,-89.75,45.75,POINT (-89.75 45.75)
2301,-89.25,45.75,POINT (-89.25 45.75)
2302,-88.75,45.75,POINT (-88.75 45.75)
2303,-88.25,45.75,POINT (-88.25 45.75)
2354,-92.75,45.25,POINT (-92.75 45.25)
2355,-92.25,45.25,POINT (-92.25 45.25)
2356,-91.75,45.25,POINT (-91.75 45.25)
2357,-91.25,45.25,POINT (-91.25 45.25)
2358,-90.75,45.25,POINT (-90.75 45.25)
2359,-90.25,45.25,POINT (-90.25 45.25)
2360,-89.75,45.25,POINT (-89.75 45.25)
2361,-89.25,45.25,POINT (-89.25 45.25)
2362,-88.75,45.25,POINT (-88.75 45.25)
2363,-88.25,45.25,POINT (-88.25 45.25)
2364,-87.75,45.25,POINT (-87.75 45.25)
2414,-92.75,44.75,POINT (-92.75 44.75)
2415,-92.25,44.75,POINT (-92.25 44.75)
2416,-91.75,44.75,POINT (-91.75 44.75)
2417,-91.25,44.75,POINT (-91.25 44.75)
2418,-90.75,44.75,POINT (-90.75 44.75)
2419,-90.25,44.75,POINT (-90.25 44.75)
2420,-89.75,44.75,POINT (-89.75 44.75)
2421,-89.25,44.75,POINT (-89.25 44.75)
2422,-88.75,44.75,POINT (-88.75 44.75)
2423,-88.25,44.75,POINT (-88.25 44.75)
2476,-91.75,44.25,POINT (-91.75 44.25)
2477,-91.25,44.25,POINT (-91.25 44.25)
2478,-90.75,44.25,POINT (-90.75 44.25)
2479,-90.25,44.25,POINT (-90.25 44.25)
2480,-89.75,44.25,POINT (-89.75 44.25)
2481,-89.25,44.25,POINT (-89.25 44.25)
2482,-88.75,44.25,POINT (-88.75 44.25)
2483,-88.25,44.25,POINT (-88.25 44.25)
2484,-87.75,44.25,POINT (-87.75 44.25)
2537,-91.25,43.75,POINT (-91.25 43.75)
2538,-90.75,43.75,POINT (-90.75 43.75)
2539,-90.25,43.75,POINT (-90.25 43.75)
2540,-89.75,43.75,POINT (-89.75 43.75)
2541,-89.25,43.75,POINT (-89.25 43.75)
2542,-88.75,43.75,POINT (-88.75 43.75)
2543,-88.25,43.75,POINT (-88.25 43.75)
2544,-87.75,43.75,POINT (-87.75 43.75)
2598,-90.75,43.25,POINT (-90.75 43.25)
2599,-90.25,43.25,POINT (-90.25 43.25)
2600,-89.75,43.25,POINT (-89.75 43.25)
2601,-89.25,43.25,POINT (-89.25 43.25)
2602,-88.75,43.25,POINT (-88.75 43.25)
2603,-88.25,43.25,POINT (-88.25 43.25)
2658,-90.75,42.75,POINT (-90.75 42.75)
2659,-90.25,42.75,POINT (-90.25 42.75)
2660,-89.75,42.75,POINT (-89.75 42.75)
2661,-89.25,42.75,POINT (-89.25 42.75)
2662,-88.75,42.75,POINT (-88.75 42.75)
2663,-88.25,42.75,POINT (-88.25 42.75)
