,Province/State,Exposure,R5,R6,R7,R8
0,Ontario (ON),4528472.0,-189846.0,-174785.0,-276399.0,-587613.0
1,Quebec (QC),3157263.0,-28608.0,-26574.0,-94151.0,-292574.0
2,Iowa (IA),52161618.0,-3774418.0,-4644820.0,-8644239.0,-16843367.0
3,Minnesota(MN),29563904.0,-1836564.0,-2451701.0,-4369567.0,-9575410.0
4,Wisconsin(WI),11515741.0,-707252.0,-828965.0,-1472348.0,-3357400.0
5,Illinois(IL),47669473.0,-3255412.0,-4130498.0,-7592111.0,-14270936.0
6,Michigan(MI),7118776.0,-573172.0,-562821.0,-878691.0,-1812310.0
7,Indiana(IN),20731290.0,-1073868.0,-1340251.0,-2758748.0,-5545108.0
8,Ohio (OH),12502459.0,-569175.0,-712745.0,-1503156.0,-3106567.0
9,New York (NY),1574141.0,-82473.0,-72949.0,-141297.0,-303160.0
10,Pennsylvania(PA),3531647.0,-152477.0,-205329.0,-427728.0,-881946.0
11,Maryland(MD),963486.0,-39291.0,-66138.0,-140405.0,-271719.0
12,Ontario (ON)Quebec (QC)Iowa (IA)Minnesota(MN)Wisconsin(WI)Illinois(IL)Michigan(MI)Indiana(IN)Ohio (OH)New York (NY)Pennsylvania(PA)Maryland(MD),195018270.0,-12282556.0,-15217576.0,-28298840.0,-56848110.0
