,Province/State,R5,R6,R7,R8
0,Ontario (ON),-4.2,-3.9,-6.1,-13.0
1,Quebec (QC),-0.9,-0.8,-3.0,-9.3
2,Iowa (IA),-7.2,-8.9,-16.6,-32.3
3,Minnesota(MN),-6.2,-8.3,-14.8,-32.4
4,Wisconsin(WI),-6.1,-7.2,-12.8,-29.2
5,Illinois(IL),-6.8,-8.7,-15.9,-29.9
6,Michigan(MI),-8.1,-7.9,-12.3,-25.5
7,Indiana(IN),-5.2,-6.5,-13.3,-26.7
8,Ohio (OH),-4.6,-5.7,-12.0,-24.8
9,New York (NY),-5.2,-4.6,-9.0,-19.3
10,Pennsylvania(PA),-4.3,-5.8,-12.1,-25.0
11,Maryland(MD),-4.1,-6.9,-14.6,-28.2
12,Ontario (ON)Quebec (QC)Iowa (IA)Minnesota(MN)Wisconsin(WI)Illinois(IL)Michigan(MI)Indiana(IN)Ohio (OH)New York (NY)Pennsylvania(PA)Maryland(MD),-6.3,-7.8,-14.5,-29.2
